AudioTime[s]	MeasId	WavId	Sensor 1 Id	Sensor 1 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 3 Id	Sensor 3 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 4 Id	Sensor 4 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 5 Id	Sensor 5 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 6 Id	Sensor 6 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 7 Id	Sensor 7 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 8 Id	Sensor 8 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 9 Id	Sensor 9 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 10 Id	Sensor 10 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 11 Id	Sensor 11 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 12 Id	Sensor 12 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz
0.0151	4	332	0	55	62.496811	32.918713	-142.726760	0.998870	0.036999	-0.007170	-0.028947	2	55	-67.003014	-63.543533	0.838562	0.786528	0.379101	-0.487500	0.000000	3	55	-70.471840	-54.627983	16.279938	0.783122	0.517208	-0.345276	0.000000	4	55	-84.693916	-43.806320	1.674103	0.780389	0.430146	-0.453836	0.000000	5	55	-66.759766	-0.575678	0.441360	0.642220	0.537598	0.546390	0.000000	6	55	-99.021416	-2.314310	-1.644119	0.788717	0.349962	0.505423	0.000000	7	55	-82.009598	-21.863308	36.638611	0.913156	0.371176	0.168446	0.000000	8	55	-90.519333	-9.090332	-0.703659	0.805702	0.547945	0.224947	0.000000	9	119								10	55	-76.301743	-5.296051	1.506760	0.696138	-0.096886	-0.711340	0.000000	11	55	-72.496300	-34.421207	1.098251	0.613905	-0.045211	0.788084	0.000000
0.0176	5	387	0	55	62.466389	32.910702	-142.719820	0.998873	0.036956	-0.007069	-0.028957	2	55	-66.962181	-63.540161	0.812469	0.786451	0.379161	-0.487578	0.000000	3	55	-70.439171	-54.625546	16.253326	0.783064	0.517268	-0.345318	0.000000	4	55	-84.654495	-43.805237	1.639832	0.780317	0.430208	-0.453901	0.000000	5	55	-66.743362	-0.583603	0.412216	0.642259	0.537493	0.546447	0.000000	6	55	-99.001450	-2.306652	-1.677933	0.788727	0.349919	0.505437	0.000000	7	55	-81.999100	-21.859713	36.609055	0.913148	0.371189	0.168462	0.000000	8	55	-90.496536	-9.095472	-0.730499	0.805726	0.547895	0.224981	0.000000	9	119								10	55	-76.274445	-5.288025	1.476944	0.696080	-0.096860	-0.711401	0.000000	11	55	-72.470306	-34.416100	1.072723	0.613972	-0.045271	0.788028	0.000000
0.0200	6	442	0	55	62.477203	32.907768	-142.736970	0.998872	0.036949	-0.007085	-0.028956	2	55	-66.996735	-63.549049	0.820007	0.786528	0.379089	-0.487510	0.000000	3	55	-70.459740	-54.624146	16.265640	0.783089	0.517245	-0.345296	0.000000	4	55	-84.688316	-43.806396	1.655502	0.780383	0.430161	-0.453833	0.000000	5	55	-66.755890	-0.578552	0.428360	0.642242	0.537543	0.546418	0.000000	6	55	-99.012886	-2.319336	-1.657974	0.788731	0.349854	0.505475	0.000000	7	55	-82.003143	-21.867435	36.629509	0.913169	0.371133	0.168470	0.000000	8	55	-90.506630	-9.094437	-0.713028	0.805722	0.547893	0.224999	0.000000	9	119								10	55	-76.287018	-5.292797	1.495300	0.696107	-0.096819	-0.711380	0.000000	11	55	-72.493111	-34.429050	1.077240	0.613911	-0.045248	0.788077	0.000000
0.0225	7	497	0	55	62.481045	32.920113	-142.736190	0.998870	0.037041	-0.007086	-0.028934	2	55	-66.994705	-63.550079	0.827972	0.786541	0.379063	-0.487508	0.000000	3	55	-70.471733	-54.621803	16.286545	0.783129	0.517157	-0.345336	0.000000	4	55	-84.689476	-43.805820	1.668930	0.780402	0.430104	-0.453853	0.000000	5	55	-66.761230	-0.578581	0.434174	0.642266	0.537561	0.546371	0.000000	6	55	-99.016838	-2.326592	-1.655914	0.788762	0.349834	0.505442	0.000000	7	55	-82.003098	-21.872572	36.638077	0.913218	0.371025	0.168446	0.000000	8	55	-90.505348	-9.101778	-0.699936	0.805779	0.547824	0.224963	0.000000	9	119								10	55	-76.291473	-5.281603	1.491089	0.696105	-0.096873	-0.711374	0.000000	11	55	-72.493698	-34.412891	1.071625	0.613908	-0.045254	0.788079	0.000000
0.0250	8	552	0	55	62.490444	32.918674	-142.716280	0.998867	0.037092	-0.007130	-0.028927	2	55	-67.016663	-63.548042	0.810532	0.786596	0.378997	-0.487471	0.000000	3	55	-70.483131	-54.619804	16.267349	0.783169	0.517108	-0.345321	0.000000	4	55	-84.701370	-43.804054	1.658981	0.780444	0.430057	-0.453825	0.000000	5	55	-66.758308	-0.574217	0.411911	0.642291	0.537583	0.546321	0.000000	6	55	-99.024628	-2.324747	-1.670837	0.788767	0.349836	0.505432	0.000000	7	55	-82.002747	-21.848707	36.615692	0.913202	0.371101	0.168364	0.000000	8	55	-90.509689	-9.094910	-0.721558	0.805797	0.547818	0.224914	0.000000	9	119								10	55	-76.287956	-5.281529	1.489288	0.696095	-0.096882	-0.711383	0.000000	11	55	-72.507828	-34.411674	1.063232	0.613861	-0.045226	0.788118	0.000000
0.0275	9	607	0	55	62.453762	32.904747	-142.709960	0.998871	0.037007	-0.007009	-0.028946	2	55	-66.980080	-63.534718	0.784302	0.786506	0.379081	-0.487552	0.000000	3	55	-70.434013	-54.619774	16.236725	0.783080	0.517206	-0.345376	0.000000	4	55	-84.649521	-43.801521	1.610428	0.780340	0.430161	-0.453907	0.000000	5	55	-66.733070	-0.579929	0.401428	0.642329	0.537485	0.546373	0.000000	6	55	-98.997887	-2.317890	-1.703522	0.788783	0.349771	0.505452	0.000000	7	55	-81.985306	-21.841087	36.580772	0.913175	0.371170	0.168357	0.000000	8	55	-90.479279	-9.090818	-0.753433	0.805790	0.547816	0.224943	0.000000	9	119								10	55	-76.258743	-5.269848	1.452560	0.696038	-0.096815	-0.711448	0.000000	11	55	-72.473068	-34.398514	1.045502	0.613955	-0.045278	0.788041	0.000000
0.0300	10	662	0	55	62.470581	32.903584	-142.733000	0.998871	0.036974	-0.007049	-0.028967	2	55	-67.010292	-63.550415	0.799057	0.786567	0.379058	-0.487470	0.000000	3	55	-70.451813	-54.622990	16.259796	0.783089	0.517218	-0.345335	0.000000	4	55	-84.687195	-43.806381	1.634811	0.780407	0.430138	-0.453813	0.000000	5	55	-66.749641	-0.582716	0.432968	0.642291	0.537502	0.546401	0.000000	6	55	-99.013931	-2.344795	-1.670487	0.788777	0.349666	0.505534	0.000000	7	55	-81.991562	-21.857590	36.610626	0.913188	0.371119	0.168402	0.000000	8	55	-90.495575	-9.092352	-0.723175	0.805764	0.547837	0.224987	0.000000	9	119								10	55	-76.285576	-5.284151	1.476196	0.696104	-0.096752	-0.711392	0.000000	11	55	-72.499527	-34.416012	1.060257	0.613876	-0.045297	0.788102	0.000000
0.0325	11	717	0	55	62.476772	32.913391	-142.738600	0.998869	0.037044	-0.007066	-0.028961	2	55	-67.011124	-63.551559	0.816055	0.786583	0.379038	-0.487460	0.000000	3	55	-70.461815	-54.620407	16.286057	0.783120	0.517160	-0.345353	0.000000	4	55	-84.691742	-43.811165	1.650421	0.780436	0.430099	-0.453799	0.000000	5	55	-66.759056	-0.582092	0.441238	0.642292	0.537522	0.546380	0.000000	6	55	-99.027786	-2.343630	-1.661987	0.788766	0.349690	0.505534	0.000000	7	55	-82.003540	-21.860643	36.624962	0.913206	0.371065	0.168421	0.000000	8	55	-90.504791	-9.099230	-0.707581	0.805794	0.547794	0.224984	0.000000	9	119								10	55	-76.294037	-5.273773	1.474213	0.696122	-0.096800	-0.711368	0.000000	11	55	-72.499435	-34.399929	1.068512	0.613869	-0.045299	0.788107	0.000000
0.0351	12	773	0	55	62.483620	32.915485	-142.733080	0.998867	0.037078	-0.007097	-0.028962	2	55	-67.026817	-63.552505	0.814178	0.786623	0.378995	-0.487430	0.000000	3	55	-70.469925	-54.622444	16.275711	0.783145	0.517131	-0.345339	0.000000	4	55	-84.701462	-43.812813	1.652969	0.780469	0.430064	-0.453776	0.000000	5	55	-66.749771	-0.579418	0.429916	0.642316	0.537534	0.546341	0.000000	6	55	-99.028748	-2.340670	-1.666748	0.788777	0.349714	0.505501	0.000000	7	55	-82.003677	-21.847956	36.618546	0.913194	0.371116	0.168376	0.000000	8	55	-90.508896	-9.096182	-0.712067	0.805798	0.547796	0.224964	0.000000	9	119								10	55	-76.295341	-5.276707	1.476715	0.696125	-0.096798	-0.711365	0.000000	11	55	-72.497253	-34.403217	1.071884	0.613867	-0.045288	0.788109	0.000000
0.0376	13	828	0	55	62.461197	32.903057	-142.734850	0.998871	0.036980	-0.007012	-0.028982	2	55	-66.991653	-63.547073	0.789505	0.786533	0.379087	-0.487502	0.000000	3	55	-70.437424	-54.621574	16.262207	0.783062	0.517228	-0.345382	0.000000	4	55	-84.657288	-43.815842	1.611115	0.780370	0.430170	-0.453846	0.000000	5	55	-66.738197	-0.578518	0.406891	0.642308	0.537446	0.546436	0.000000	6	55	-99.012810	-2.329044	-1.687271	0.788766	0.349711	0.505520	0.000000	7	55	-81.989418	-21.852505	36.602631	0.913191	0.371126	0.168371	0.000000	8	55	-90.496353	-9.097746	-0.730148	0.805784	0.547787	0.225039	0.000000	9	119								10	55	-76.273270	-5.269749	1.472519	0.696073	-0.096777	-0.711419	0.000000	11	55	-72.477005	-34.391460	1.071686	0.613933	-0.045346	0.788055	0.000000
