# AudioTime[s]	MeasId	WavId	Sensor 1 Id	Sensor 1 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 3 Id	Sensor 3 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 4 Id	Sensor 4 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 5 Id	Sensor 5 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 6 Id	Sensor 6 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 7 Id	Sensor 7 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 8 Id	Sensor 8 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 9 Id	Sensor 9 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 10 Id	Sensor 10 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 11 Id	Sensor 11 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 12 Id	Sensor 12 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz
0.0195	14	431	0	55	62.7677	36.1402	-143.2022	0.9973	0.0120	-0.0017	-0.0728	1	55	4.3606	0.4957	-0.0847	-0.6239	0.7688	-0.1401	0.0105	2	55	-13.0737	0.4233	0.5147	-0.6168	0.7605	0.2032	0.0051	3	55	-4.2370	5.7009	-10.3167	-0.6575	0.5838	0.4594	-0.1258	4	55	-45.3378	31.7121	-37.0243	-0.7631	0.5100	-0.3263	-0.2261	5	55	-41.6147	3.8596	-51.0562	-0.6774	-0.2450	-0.3630	-0.5910	6	55	-49.7328	3.2311	-8.2772	-0.8594	0.2825	-0.0468	-0.4236	7	55	-35.4407	5.9262	-43.6340	-0.7922	-0.0253	-0.2694	-0.5471	8	119	nan	nan	nan	nan	nan	nan	nan	9	55	-43.1755	19.1422	-42.0831	-0.4925	0.7726	0.3895	0.0932	10	55	-18.7327	12.9007	-25.7880	-0.4314	-0.5902	0.2666	-0.6281
0.0220	15	486	0	55	62.7802	36.1386	-143.1979	0.9973	0.0121	-0.0017	-0.0728	1	55	4.3539	0.4439	-0.0983	-0.6239	0.7689	-0.1394	0.0105	2	55	-13.0883	0.4249	0.5449	-0.6168	0.7605	0.2030	0.0051	3	55	-4.1974	5.7218	-10.3258	-0.6575	0.5838	0.4593	-0.1258	4	55	-45.3454	31.7044	-37.0369	-0.7631	0.5099	-0.3263	-0.2261	5	55	-41.6244	3.8788	-51.0645	-0.6775	-0.2449	-0.3631	-0.5910	6	55	-49.7329	3.2215	-8.2446	-0.8594	0.2824	-0.0468	-0.4236	7	55	-35.4602	5.9512	-43.6469	-0.7922	-0.0251	-0.2695	-0.5470	8	119	nan	nan	nan	nan	nan	nan	nan	9	55	-43.1558	19.1378	-42.0666	-0.4926	0.7727	0.3893	0.0932	10	55	-18.7417	12.8921	-25.7537	-0.4314	-0.5902	0.2666	-0.6281
0.0245	16	541	0	55	62.7851	36.1187	-143.2087	0.9973	0.0119	-0.0017	-0.0729	1	55	4.3409	0.4047	-0.1608	-0.6237	0.7692	-0.1383	0.0109	2	55	-13.0974	0.4259	0.5353	-0.6167	0.7606	0.2030	0.0052	3	55	-4.1627	5.6932	-10.3532	-0.6576	0.5837	0.4593	-0.1259	4	55	-45.3594	31.7072	-36.9723	-0.7630	0.5099	-0.3266	-0.2260	5	55	-41.6101	3.8604	-51.0354	-0.6774	-0.2450	-0.3630	-0.5910	6	55	-49.7323	3.2142	-8.2350	-0.8594	0.2825	-0.0469	-0.4236	7	55	-35.4432	5.9433	-43.6037	-0.7922	-0.0252	-0.2694	-0.5470	8	119	nan	nan	nan	nan	nan	nan	nan	9	55	-43.1766	19.1564	-42.0689	-0.4924	0.7727	0.3895	0.0933	10	55	-18.7518	12.8999	-25.7650	-0.4314	-0.5901	0.2667	-0.6281
0.0270	17	596	0	55	62.7778	36.1101	-143.1984	0.9973	0.0121	-0.0017	-0.0729	1	55	4.3260	0.3636	-0.1955	-0.6238	0.7694	-0.1373	0.0109	2	55	-13.0937	0.4275	0.5378	-0.6168	0.7605	0.2030	0.0051	3	55	-4.1673	5.7070	-10.3732	-0.6577	0.5837	0.4593	-0.1260	4	55	-45.3410	31.7019	-36.9892	-0.7631	0.5099	-0.3263	-0.2261	5	55	-41.5910	3.8719	-51.0608	-0.6775	-0.2449	-0.3630	-0.5910	6	55	-49.7376	3.2270	-8.2331	-0.8594	0.2824	-0.0468	-0.4236	7	55	-35.4225	5.9599	-43.6285	-0.7922	-0.0252	-0.2693	-0.5470	8	119	nan	nan	nan	nan	nan	nan	nan	9	55	-43.1573	19.1603	-42.0749	-0.4926	0.7727	0.3893	0.0932	10	55	-18.7410	12.8933	-25.7573	-0.4314	-0.5902	0.2666	-0.6281
0.0295	18	651	0	55	62.7768	36.1032	-143.1822	0.9973	0.0121	-0.0017	-0.0728	1	55	4.3046	0.3347	-0.2399	-0.6236	0.7697	-0.1363	0.0112	2	55	-13.0710	0.4350	0.5106	-0.6168	0.7605	0.2029	0.0051	3	55	-4.2209	5.7172	-10.3196	-0.6576	0.5838	0.4592	-0.1259	4	55	-45.3253	31.7416	-37.0466	-0.7631	0.5099	-0.3264	-0.2261	5	55	-41.6034	3.8628	-51.0634	-0.6774	-0.2450	-0.3630	-0.5910	6	55	-49.7272	3.2392	-8.2486	-0.8594	0.2824	-0.0468	-0.4236	7	55	-35.4338	5.9434	-43.6297	-0.7922	-0.0253	-0.2694	-0.5471	8	119	nan	nan	nan	nan	nan	nan	nan	9	55	-43.1637	19.1513	-42.0971	-0.4926	0.7727	0.3894	0.0931	10	55	-18.7404	12.8992	-25.7726	-0.4314	-0.5902	0.2666	-0.6281
0.0320	19	706	0	55	62.7918	36.1026	-143.1796	0.9973	0.0122	-0.0017	-0.0729	1	55	4.2901	0.3260	-0.2169	-0.6237	0.7697	-0.1362	0.0112	2	55	-13.0829	0.4346	0.5385	-0.6168	0.7605	0.2028	0.0051	3	55	-4.1854	5.7321	-10.3314	-0.6577	0.5837	0.4592	-0.1260	4	55	-45.3291	31.7275	-37.0494	-0.7631	0.5099	-0.3264	-0.2261	5	55	-41.6179	3.8829	-51.0705	-0.6775	-0.2448	-0.3631	-0.5910	6	55	-49.7206	3.2286	-8.2444	-0.8594	0.2823	-0.0467	-0.4237	7	55	-35.4540	5.9606	-43.6357	-0.7922	-0.0252	-0.2694	-0.5470	8	119	nan	nan	nan	nan	nan	nan	nan	9	55	-43.1425	19.1503	-42.0680	-0.4926	0.7727	0.3892	0.0932	10	55	-18.7382	12.8908	-25.7559	-0.4313	-0.5902	0.2666	-0.6281
0.0345	20	761	0	55	62.8043	36.0808	-143.1987	0.9973	0.0119	-0.0017	-0.0730	1	55	4.2834	0.3959	-0.2046	-0.6234	0.7698	-0.1366	0.0114	2	55	-13.0874	0.4292	0.5304	-0.6167	0.7606	0.2028	0.0052	3	55	-4.1557	5.7024	-10.3561	-0.6578	0.5837	0.4591	-0.1261	4	55	-45.3478	31.7161	-36.9728	-0.7630	0.5099	-0.3267	-0.2261	5	55	-41.6062	3.8539	-51.0361	-0.6774	-0.2451	-0.3631	-0.5910	6	55	-49.7137	3.2164	-8.2460	-0.8594	0.2824	-0.0470	-0.4236	7	55	-35.4394	5.9413	-43.5853	-0.7921	-0.0253	-0.2695	-0.5470	8	119	nan	nan	nan	nan	nan	nan	nan	9	55	-43.1679	19.1527	-42.0621	-0.4924	0.7728	0.3894	0.0933	10	55	-18.7483	12.8875	-25.7669	-0.4314	-0.5902	0.2667	-0.6281
0.0370	21	816	0	55	62.7956	36.0700	-143.1890	0.9973	0.0121	-0.0017	-0.0729	1	55	4.2570	0.4697	-0.1748	-0.6234	0.7697	-0.1371	0.0114	2	55	-13.0898	0.4290	0.5312	-0.6168	0.7605	0.2028	0.0051	3	55	-4.1626	5.7113	-10.3787	-0.6578	0.5836	0.4591	-0.1261	4	55	-45.3442	31.6972	-36.9845	-0.7631	0.5099	-0.3264	-0.2261	5	55	-41.5978	3.8693	-51.0606	-0.6774	-0.2450	-0.3630	-0.5910	6	55	-49.7270	3.2297	-8.2604	-0.8594	0.2824	-0.0468	-0.4236	7	55	-35.4303	5.9527	-43.6247	-0.7922	-0.0252	-0.2694	-0.5470	8	119	nan	nan	nan	nan	nan	nan	nan	9	55	-43.1512	19.1595	-42.0731	-0.4926	0.7728	0.3892	0.0932	10	55	-18.7448	12.8790	-25.7575	-0.4313	-0.5903	0.2667	-0.6281
0.0395	22	871	0	55	62.7931	36.0689	-143.1766	0.9973	0.0121	-0.0017	-0.0729	1	55	4.2792	0.5439	-0.1425	-0.6234	0.7695	-0.1380	0.0112	2	55	-13.0743	0.4297	0.5094	-0.6169	0.7605	0.2028	0.0051	3	55	-4.2056	5.7202	-10.3298	-0.6578	0.5837	0.4591	-0.1261	4	55	-45.3294	31.7269	-37.0261	-0.7631	0.5099	-0.3264	-0.2261	5	55	-41.6070	3.8585	-51.0589	-0.6774	-0.2450	-0.3630	-0.5910	6	55	-49.7241	3.2302	-8.2612	-0.8594	0.2824	-0.0468	-0.4236	7	55	-35.4394	5.9340	-43.6219	-0.7921	-0.0253	-0.2694	-0.5471	8	119	nan	nan	nan	nan	nan	nan	nan	9	55	-43.1572	19.1474	-42.0906	-0.4926	0.7727	0.3894	0.0931	10	55	-18.7437	12.8754	-25.7800	-0.4313	-0.5903	0.2666	-0.6281
0.0420	23	926	0	55	62.8015	36.0675	-143.1749	0.9973	0.0121	-0.0017	-0.0730	1	55	4.3010	0.5880	-0.1078	-0.6235	0.7693	-0.1386	0.0111	2	55	-13.0783	0.4413	0.5420	-0.6169	0.7605	0.2026	0.0051	3	55	-4.1708	5.7341	-10.3404	-0.6579	0.5837	0.4590	-0.1261	4	55	-45.3373	31.7152	-37.0264	-0.7631	0.5099	-0.3264	-0.2261	5	55	-41.6061	3.8809	-51.0883	-0.6774	-0.2449	-0.3631	-0.5910	6	55	-49.7252	3.2159	-8.2532	-0.8594	0.2823	-0.0468	-0.4237	7	55	-35.4530	5.9596	-43.6291	-0.7922	-0.0252	-0.2695	-0.5470	8	119	nan	nan	nan	nan	nan	nan	nan	9	55	-43.1324	19.1513	-42.0645	-0.4927	0.7728	0.3892	0.0932	10	55	-18.7275	12.8822	-25.7668	-0.4313	-0.5903	0.2667	-0.6281
