# AudioTime[s]	MeasId	WavId	Sensor 1 Id	Sensor 1 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 3 Id	Sensor 3 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 4 Id	Sensor 4 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 5 Id	Sensor 5 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 6 Id	Sensor 6 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 7 Id	Sensor 7 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 8 Id	Sensor 8 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz
0.0432	0	953	0	55	7.572659	24.400126	-138.334640	0.999783	0.016048	-0.000753	0.013232	1	55	6.318989	13.919876	0.196149	0.634748	0.172558	-0.753181	-0.006104	2	55	6.144559	-13.119681	3.495824	0.788302	-0.536531	-0.292132	-0.073309	3	55	-19.512472	5.513420	1.347775	0.824301	0.421967	-0.375690	0.036442	4	55	-32.597012	13.622671	0.201648	0.654079	0.501716	-0.564736	0.039193	5	55	-0.491168	-8.071696	0.886325	0.630256	-0.394767	-0.664890	-0.069704	-0	119	nan	nan	nan	nan	nan	nan	nan
0.0532	1	1173	0	55	7.710818	24.189268	-138.131550	0.999774	0.016987	-0.000948	0.012719	1	55	6.311929	13.905325	0.210534	0.634584	0.173003	-0.753218	-0.006053	2	55	6.112896	-13.241506	3.590086	0.788509	-0.539212	-0.286552	-0.073428	3	55	-18.965482	4.369523	2.159870	0.813427	0.423611	-0.396992	0.035889	4	55	-31.750801	13.184708	-0.516006	0.659154	0.473234	-0.583376	0.035192	5	55	-0.620391	-8.117719	0.937003	0.629989	-0.395730	-0.664559	-0.069805	-0	119	nan	nan	nan	nan	nan	nan	nan
0.0632	2	1394	0	55	7.784707	23.983049	-137.949650	0.999757	0.018121	-0.000974	0.012481	1	55	6.228531	14.014213	0.163840	0.634581	0.172863	-0.753252	-0.006071	2	55	6.010250	-13.474579	3.645402	0.788458	-0.541662	-0.282002	-0.073557	3	55	-18.293664	3.332109	1.894233	0.800135	0.424247	-0.422574	0.035067	4	55	-31.607556	13.291706	-0.211280	0.662943	0.448049	-0.598961	0.031685	5	55	-0.687416	-8.042067	1.001814	0.629660	-0.396223	-0.664571	-0.069864	-0	119	nan	nan	nan	nan	nan	nan	nan
0.0732	3	1614	0	55	7.839796	23.740955	-137.801070	0.999738	0.019147	-0.000844	0.012502	1	55	6.304960	14.113523	0.057233	0.635547	0.172239	-0.752579	-0.006121	2	55	6.086113	-13.700980	3.707621	0.788443	-0.543467	-0.278526	-0.073647	3	55	-18.187509	2.547940	2.419753	0.787639	0.415117	-0.454115	0.032889	4	55	-31.482372	13.297207	-0.144594	0.661391	0.431576	-0.612737	0.029266	5	55	-0.660306	-8.089427	0.996887	0.629544	-0.396833	-0.664310	-0.069926	-0	119	nan	nan	nan	nan	nan	nan	nan
0.0832	4	1834	0	55	7.875649	23.563965	-137.597020	0.999722	0.019970	-0.000589	0.012545	1	55	6.255632	13.858158	0.041723	0.635611	0.168584	-0.753349	-0.006577	2	55	5.933367	-13.861715	3.657914	0.788398	-0.544777	-0.276066	-0.073715	3	55	-17.424097	0.917474	2.400511	0.773709	0.405445	-0.485849	0.030640	4	55	-31.281530	13.271812	0.129655	0.656916	0.417073	-0.627520	0.027043	5	55	-0.647132	-8.157882	1.059577	0.629609	-0.396928	-0.664191	-0.069933	-0	119	nan	nan	nan	nan	nan	nan	nan
0.0932	5	2055	0	55	7.889158	23.430349	-137.397670	0.999695	0.021341	-0.000186	0.012392	1	55	6.200464	13.658438	0.142501	0.635552	0.162399	-0.754749	-0.007353	2	55	5.849198	-13.921769	3.652370	0.788171	-0.545226	-0.275815	-0.073759	3	55	-17.130891	-0.063994	1.831217	0.761714	0.393853	-0.513684	0.028302	4	55	-30.795194	13.239169	-0.098964	0.653120	0.400279	-0.642346	0.024549	5	55	-0.703529	-8.275648	1.134858	0.629241	-0.397895	-0.663950	-0.070039	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1032	6	2275	0	55	7.873966	23.305805	-137.194140	0.999667	0.022582	0.000438	0.012449	1	55	6.022629	13.602128	0.166466	0.635745	0.157743	-0.755568	-0.007929	2	55	6.004816	-14.031127	3.889651	0.788420	-0.544204	-0.277139	-0.073685	3	55	-17.080273	-0.905823	1.780166	0.752174	0.386654	-0.532931	0.026781	4	55	-30.340706	13.029694	0.079431	0.652532	0.380812	-0.654758	0.021826	5	55	-0.701944	-8.207967	1.283870	0.628652	-0.397962	-0.664465	-0.070065	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1132	7	2496	0	55	7.986832	23.169489	-137.151580	0.999658	0.023117	0.000674	0.012239	1	55	6.071262	13.343298	0.243898	0.637042	0.153855	-0.755272	-0.008376	2	55	5.905618	-14.093387	3.855436	0.788772	-0.541837	-0.280791	-0.073535	3	55	-16.842515	-1.896918	1.329554	0.743806	0.384174	-0.546340	0.026020	4	55	-29.683001	12.662705	-0.243322	0.653980	0.361180	-0.664448	0.019178	5	55	-0.688768	-8.264253	1.237529	0.628464	-0.398233	-0.664477	-0.070097	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1232	8	2716	0	55	8.051161	23.011784	-137.069780	0.999653	0.023421	0.001017	0.011994	1	55	6.082260	13.041788	0.221188	0.637678	0.149981	-0.755509	-0.008840	2	55	5.887799	-14.022427	3.927231	0.788929	-0.538467	-0.286818	-0.073350	3	55	-17.082545	-2.472026	2.683918	0.738874	0.378315	-0.557064	0.024955	4	55	-29.339713	12.516001	-0.279243	0.655119	0.345058	-0.671911	0.017022	5	55	-0.722245	-8.307505	1.241383	0.628190	-0.398850	-0.664359	-0.070165	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1332	9	2936	0	55	8.091366	22.885250	-137.027180	0.999662	0.023142	0.001484	0.011743	1	55	5.870671	12.828550	0.312076	0.637864	0.150314	-0.755287	-0.008793	2	55	6.116624	-14.068409	4.144298	0.789609	-0.533775	-0.293712	-0.073040	3	55	-16.980128	-2.658457	2.149640	0.734108	0.378694	-0.563083	0.024789	4	55	-29.100416	12.364252	-0.279534	0.655644	0.333858	-0.677073	0.015524	5	55	-0.689665	-8.369393	1.410236	0.628267	-0.398965	-0.664216	-0.070174	-0	119	nan	nan	nan	nan	nan	nan	nan
